date,channel,total_spend,attributed_orders,attributed_revenue,day_of_week,promo_flag,week_index
2025-07-24,email,11762.55,14.0,64357.05,Thursday,0,2
2025-07-24,organic,3791.79,12.0,83071.19,Thursday,0,2
2025-07-24,paid_social,111041.96,8.0,51914.91,Thursday,0,2
2025-07-24,referral,26275.54,2.0,19506.510000000002,Thursday,0,2
2025-07-24,search,113524.91,24.0,156676.08,Thursday,0,2
2025-07-25,email,16424.04,20.0,135473.72,Friday,0,3
2025-07-25,organic,4137.76,8.0,50804.06,Friday,0,3
2025-07-25,paid_social,122060.12,21.0,133731.89,Friday,0,3
2025-07-25,referral,28336.66,8.0,49055.28,Friday,0,3
2025-07-25,search,152349.72,30.0,168294.98,Friday,0,3
2025-07-26,email,17473.39,13.0,113683.64,Saturday,0,3
2025-07-26,organic,4659.77,9.0,66340.7,Saturday,0,3
2025-07-26,paid_social,140952.79,12.0,50011.51,Saturday,0,3
2025-07-26,referral,30627.5,8.0,47849.49,Saturday,0,3
2025-07-26,search,129928.97,29.0,197519.97,Saturday,0,3
2025-07-27,email,18269.57,17.0,115298.7,Sunday,0,3
2025-07-27,organic,3971.09,7.0,52996.04000000001,Sunday,0,3
2025-07-27,paid_social,116453.6,12.0,91091.39,Sunday,0,3
2025-07-27,referral,33038.49,9.0,41802.59,Sunday,0,3
2025-07-27,search,143744.13,31.0,240480.28,Sunday,0,3
2025-07-28,email,14523.18,7.0,37436.97,Monday,0,3
2025-07-28,organic,4694.21,10.0,45911.87,Monday,0,3
2025-07-28,paid_social,125284.3,17.0,135138.96,Monday,0,3
2025-07-28,referral,28265.45,9.0,67329.59000000001,Monday,0,3
2025-07-28,search,128644.02,32.0,209311.3,Monday,0,3
2025-07-29,email,14865.73,6.0,44422.43,Tuesday,0,3
2025-07-29,organic,3868.3999999999996,6.0,27700.14,Tuesday,0,3
2025-07-29,paid_social,125516.22,11.0,48699.2,Tuesday,0,3
2025-07-29,referral,28963.95,3.0,81588.76999999999,Tuesday,0,3
2025-07-29,search,139364.48,31.0,246860.84,Tuesday,0,3
2025-07-30,email,14177.78,14.0,84251.65,Wednesday,0,3
2025-07-30,organic,3779.45,3.0,34304.880000000005,Wednesday,0,3
2025-07-30,paid_social,108261.37000000001,7.0,26024.12,Wednesday,0,3
2025-07-30,referral,27335.67,9.0,56516.87,Wednesday,0,3
2025-07-30,search,148290.46000000002,31.0,237816.46,Wednesday,0,3
2025-07-31,email,15319.91,14.0,102523.31,Thursday,0,3
2025-07-31,organic,4160.95,13.0,68633.34,Thursday,0,3
2025-07-31,paid_social,131671.87,6.0,31367.05,Thursday,0,3
2025-07-31,referral,27399.33,3.0,16210.119999999999,Thursday,0,3
2025-07-31,search,158379.74,34.0,278059.32,Thursday,0,3
2025-08-01,email,16548.37,8.0,42017.65,Friday,0,4
2025-08-01,organic,4345.49,3.0,23229.73,Friday,0,4
2025-08-01,paid_social,110016.36,12.0,53601.68,Friday,0,4
2025-08-01,referral,30516.010000000002,1.0,10720.87,Friday,0,4
2025-08-01,search,146014.85,38.0,244318.07,Friday,0,4
2025-08-02,email,16285.82,11.0,105458.42,Saturday,0,4
2025-08-02,organic,4880.07,10.0,61332.520000000004,Saturday,0,4
2025-08-02,paid_social,137969.15,14.0,79392.87,Saturday,0,4
2025-08-02,referral,29826.16,3.0,10944.86,Saturday,0,4
2025-08-02,search,156028.84,27.0,193179.52000000002,Saturday,0,4
2025-08-03,email,18529.43,9.0,54937.95,Sunday,0,4
2025-08-03,organic,4433.45,9.0,77505.46,Sunday,0,4
2025-08-03,paid_social,144336.31,9.0,50822.369999999995,Sunday,0,4
2025-08-03,referral,33877.36,2.0,12043.099999999999,Sunday,0,4
2025-08-03,search,171931.16,20.0,159336.66999999998,Sunday,0,4
2025-08-04,email,15360.92,9.0,53526.020000000004,Monday,0,4
2025-08-04,organic,4404.38,5.0,33132.17,Monday,0,4
2025-08-04,paid_social,134403.97,9.0,76166.77,Monday,0,4
2025-08-04,referral,25540.34,1.0,19588.03,Monday,0,4
2025-08-04,search,135502.83,30.0,186699.80000000002,Monday,0,4
2025-08-05,email,15721.8,12.0,70798.22,Tuesday,0,4
2025-08-05,organic,4003.31,6.0,48658.52,Tuesday,0,4
2025-08-05,paid_social,100988.65,10.0,51391.01,Tuesday,0,4
2025-08-05,referral,27629.02,8.0,38856.76,Tuesday,0,4
2025-08-05,search,150324.34,21.0,122011.31,Tuesday,0,4
2025-08-06,email,13483.35,16.0,122499.95000000001,Wednesday,0,4
2025-08-06,organic,3994.59,6.0,33633.77,Wednesday,0,4
2025-08-06,paid_social,110320.01999999999,11.0,67226.47,Wednesday,0,4
2025-08-06,referral,32643.64,0.0,0.0,Wednesday,0,4
2025-08-06,search,127808.87,25.0,180618.86,Wednesday,0,4
2025-08-07,email,16566.38,9.0,43819.0,Thursday,0,4
2025-08-07,organic,3598.75,5.0,33351.64,Thursday,0,4
2025-08-07,paid_social,117607.79000000001,16.0,94106.94,Thursday,0,4
2025-08-07,referral,26682.59,5.0,22999.15,Thursday,0,4
2025-08-07,search,131150.44,27.0,163642.79,Thursday,0,4
2025-08-08,email,18638.49,16.0,95211.9,Friday,0,5
2025-08-08,organic,4606.04,10.0,54016.73,Friday,0,5
2025-08-08,paid_social,130434.79000000001,22.0,148034.34,Friday,0,5
2025-08-08,referral,32417.809999999998,3.0,16591.45,Friday,0,5
2025-08-08,search,169433.13,40.0,255565.97000000003,Friday,0,5
2025-08-09,email,14691.5,13.0,66558.76000000001,Saturday,0,5
2025-08-09,organic,5212.26,11.0,66934.66,Saturday,0,5
2025-08-09,paid_social,131125.48,25.0,188963.25,Saturday,0,5
2025-08-09,referral,32226.5,2.0,8353.45,Saturday,0,5
2025-08-09,search,146999.53,32.0,217470.4,Saturday,0,5
2025-08-10,email,16733.21,13.0,86816.4,Sunday,0,5
2025-08-10,organic,4557.5,13.0,90646.73,Sunday,0,5
2025-08-10,paid_social,154874.69,19.0,117202.91,Sunday,0,5
2025-08-10,referral,33692.95,4.0,29110.11,Sunday,0,5
2025-08-10,search,178151.22,27.0,175529.97,Sunday,0,5
2025-08-11,email,19002.79,21.0,115301.12000000001,Monday,1,5
2025-08-11,organic,5186.9,20.0,136930.08,Monday,1,5
2025-08-11,paid_social,156070.28,23.0,133199.05000000002,Monday,1,5
2025-08-11,referral,33397.15,4.0,20760.33,Monday,1,5
2025-08-11,search,177070.05,44.0,348731.99,Monday,1,5
2025-08-12,email,16980.12,15.0,99851.78,Tuesday,0,5
2025-08-12,organic,3619.91,7.0,47821.21000000001,Tuesday,0,5
2025-08-12,paid_social,116420.65000000001,7.0,33385.47,Tuesday,0,5
2025-08-12,referral,29868.58,1.0,9966.77,Tuesday,0,5
2025-08-12,search,121154.06,27.0,220649.87,Tuesday,0,5
2025-08-13,email,17988.09,19.0,100381.26,Wednesday,1,5
2025-08-13,organic,4248.38,15.0,111692.63,Wednesday,1,5
2025-08-13,paid_social,155867.94,10.0,55304.42,Wednesday,1,5
2025-08-13,referral,38923.17,5.0,41498.28,Wednesday,1,5
2025-08-13,search,163617.46,44.0,236995.19,Wednesday,1,5
2025-08-14,email,17275.27,18.0,89051.28,Thursday,1,5
2025-08-14,organic,4948.45,6.0,35084.57,Thursday,1,5
2025-08-14,paid_social,149923.65,25.0,155651.62,Thursday,1,5
2025-08-14,referral,34581.08,6.0,57759.770000000004,Thursday,1,5
2025-08-14,search,202946.47,39.0,232540.29,Thursday,1,5
2025-08-15,email,22836.03,30.0,210698.11,Friday,1,6
2025-08-15,organic,5186.66,12.0,83550.38,Friday,1,6
2025-08-15,paid_social,158687.54,25.0,139407.25,Friday,1,6
2025-08-15,referral,28618.67,10.0,66262.95,Friday,1,6
2025-08-15,search,185183.65,42.0,255439.41999999998,Friday,1,6
2025-08-16,email,23232.63,39.0,265031.2,Saturday,1,6
2025-08-16,organic,6257.63,13.0,102512.9,Saturday,1,6
2025-08-16,paid_social,161713.04,28.0,132457.16,Saturday,1,6
2025-08-16,referral,38542.270000000004,12.0,71869.6,Saturday,1,6
2025-08-16,search,239157.44,33.0,183096.13,Saturday,1,6
2025-08-17,email,22974.48,23.0,159973.21,Sunday,1,6
2025-08-17,organic,5139.41,23.0,155693.68,Sunday,1,6
2025-08-17,paid_social,176795.85,23.0,112483.5,Sunday,1,6
2025-08-17,referral,41133.17,8.0,58945.82,Sunday,1,6
2025-08-17,search,226730.72,34.0,210424.68,Sunday,1,6
2025-08-18,email,20606.14,19.0,81764.93,Monday,1,6
2025-08-18,organic,4470.389999999999,7.0,42564.81,Monday,1,6
2025-08-18,paid_social,140041.01,21.0,113064.49,Monday,1,6
2025-08-18,referral,33531.51,11.0,57745.73,Monday,1,6
2025-08-18,search,180857.56,31.0,190202.94,Monday,1,6
2025-08-19,email,17870.6,24.0,158591.85,Tuesday,1,6
2025-08-19,organic,4670.41,13.0,51784.86,Tuesday,1,6
2025-08-19,paid_social,163884.86,20.0,124517.58,Tuesday,1,6
2025-08-19,referral,39561.92,13.0,68478.01,Tuesday,1,6
2025-08-19,search,169214.66,36.0,213420.35,Tuesday,1,6
2025-08-20,email,19435.95,19.0,117471.15,Wednesday,1,6
2025-08-20,organic,5088.93,15.0,90811.57,Wednesday,1,6
2025-08-20,paid_social,141428.79,19.0,130047.5,Wednesday,1,6
2025-08-20,referral,40874.729999999996,11.0,63733.13,Wednesday,1,6
2025-08-20,search,146661.31,42.0,254914.66,Wednesday,1,6
2025-08-21,email,15366.23,12.0,71029.9,Thursday,0,6
2025-08-21,organic,3464.61,8.0,29629.76,Thursday,0,6
2025-08-21,paid_social,116277.18,9.0,65090.479999999996,Thursday,0,6
2025-08-21,referral,27371.05,4.0,14664.259999999998,Thursday,0,6
2025-08-21,search,139741.5,32.0,204449.28,Thursday,0,6
2025-08-22,email,15525.51,7.0,47134.74,Friday,0,7
2025-08-22,organic,3930.2599999999998,6.0,23813.870000000003,Friday,0,7
2025-08-22,paid_social,142075.41,13.0,88041.02,Friday,0,7
2025-08-22,referral,28915.030000000002,5.0,34492.130000000005,Friday,0,7
2025-08-22,search,150545.18,38.0,284000.63,Friday,0,7
2025-08-23,email,12125.38,14.0,112938.57999999999,Saturday,0,7
2025-08-23,organic,5018.55,13.0,62001.17,Saturday,0,7
2025-08-23,paid_social,142307.6,7.0,50465.399999999994,Saturday,0,7
2025-08-23,referral,37438.729999999996,4.0,23654.190000000002,Saturday,0,7
2025-08-23,search,138486.51,27.0,294758.39,Saturday,0,7
2025-08-24,email,17633.16,12.0,65564.02,Sunday,0,7
2025-08-24,organic,4857.42,5.0,38740.11,Sunday,0,7
2025-08-24,paid_social,124470.12,12.0,86734.48000000001,Sunday,0,7
2025-08-24,referral,36329.34,8.0,56399.729999999996,Sunday,0,7
2025-08-24,search,160056.88999999998,33.0,210737.28999999998,Sunday,0,7
2025-08-25,email,15228.18,15.0,101963.69,Monday,0,7
2025-08-25,organic,2905.34,8.0,49428.06,Monday,0,7
2025-08-25,paid_social,113487.51999999999,7.0,61843.43,Monday,0,7
2025-08-25,referral,26978.35,6.0,24122.33,Monday,0,7
2025-08-25,search,152950.96,30.0,197208.03,Monday,0,7
2025-08-26,email,13942.12,13.0,66296.64,Tuesday,0,7
2025-08-26,organic,4610.32,8.0,53461.869999999995,Tuesday,0,7
2025-08-26,paid_social,144285.34,10.0,77075.96,Tuesday,0,7
2025-08-26,referral,25713.64,12.0,76786.68,Tuesday,0,7
2025-08-26,search,130106.28,29.0,164026.77,Tuesday,0,7
2025-08-27,email,16798.24,11.0,86731.56,Wednesday,0,7
2025-08-27,organic,4706.49,8.0,71399.72,Wednesday,0,7
2025-08-27,paid_social,111496.89,13.0,79834.65,Wednesday,0,7
2025-08-27,referral,24856.690000000002,5.0,32947.54,Wednesday,0,7
2025-08-27,search,120581.28,32.0,246309.97,Wednesday,0,7
2025-08-28,email,17192.97,12.0,87924.18000000001,Thursday,0,7
2025-08-28,organic,3835.2799999999997,11.0,70088.19,Thursday,0,7
2025-08-28,paid_social,135738.88,15.0,63841.45999999999,Thursday,0,7
2025-08-28,referral,28170.809999999998,6.0,32789.29,Thursday,0,7
2025-08-28,search,128202.56999999999,26.0,158262.13,Thursday,0,7
2025-08-29,email,16357.92,13.0,80855.67000000001,Friday,0,8
2025-08-29,organic,4609.6,3.0,12257.51,Friday,0,8
2025-08-29,paid_social,119722.24,17.0,65949.51,Friday,0,8
2025-08-29,referral,27413.85,8.0,54190.27,Friday,0,8
2025-08-29,search,132968.49,17.0,110239.79000000001,Friday,0,8
2025-08-30,email,19395.76,13.0,77551.8,Saturday,0,8
2025-08-30,organic,4882.1900000000005,9.0,53877.240000000005,Saturday,0,8
2025-08-30,paid_social,121651.77,13.0,57215.03,Saturday,0,8
2025-08-30,referral,29939.260000000002,10.0,62278.9,Saturday,0,8
2025-08-30,search,167068.35,31.0,189990.88,Saturday,0,8
2025-08-31,email,16801.04,5.0,39145.68,Sunday,0,8
2025-08-31,organic,4856.02,8.0,35312.32,Sunday,0,8
2025-08-31,paid_social,160159.37,18.0,120974.89,Sunday,0,8
2025-08-31,referral,30803.48,4.0,21472.95,Sunday,0,8
2025-08-31,search,168971.71000000002,27.0,134647.22,Sunday,0,8
2025-09-01,email,14378.01,10.0,63178.29,Monday,0,8
2025-09-01,organic,4153.4800000000005,6.0,107525.18,Monday,0,8
2025-09-01,paid_social,113595.7,10.0,38008.880000000005,Monday,0,8
2025-09-01,referral,28778.47,9.0,66906.29,Monday,0,8
2025-09-01,search,141818.02,31.0,193198.77,Monday,0,8
2025-09-02,email,16340.48,7.0,46775.88,Tuesday,0,8
2025-09-02,organic,4636.78,3.0,11419.87,Tuesday,0,8
2025-09-02,paid_social,109376.98999999999,9.0,38753.57,Tuesday,0,8
2025-09-02,referral,23761.3,4.0,46973.299999999996,Tuesday,0,8
2025-09-02,search,142518.58000000002,24.0,151933.0,Tuesday,0,8
2025-09-03,email,16997.65,14.0,118610.78,Wednesday,0,8
2025-09-03,organic,3561.9900000000002,4.0,24575.96,Wednesday,0,8
2025-09-03,paid_social,101884.83,10.0,64755.5,Wednesday,0,8
2025-09-03,referral,28687.3,5.0,42846.5,Wednesday,0,8
2025-09-03,search,154228.91999999998,24.0,155098.29,Wednesday,0,8
2025-09-04,email,15926.91,7.0,41547.240000000005,Thursday,0,8
2025-09-04,organic,4076.44,4.0,29780.0,Thursday,0,8
2025-09-04,paid_social,114340.73999999999,14.0,72545.92,Thursday,0,8
2025-09-04,referral,29603.43,3.0,20271.969999999998,Thursday,0,8
2025-09-04,search,138165.52,30.0,187850.52,Thursday,0,8
2025-09-05,email,17442.2,7.0,36270.28,Friday,0,9
2025-09-05,organic,5035.7,7.0,37324.33,Friday,0,9
2025-09-05,paid_social,111684.77,12.0,72056.23,Friday,0,9
2025-09-05,referral,31389.22,5.0,40360.759999999995,Friday,0,9
2025-09-05,search,143516.35,31.0,216123.85,Friday,0,9
2025-09-06,email,16996.15,12.0,69965.92000000001,Saturday,0,9
2025-09-06,organic,4319.55,6.0,31558.010000000002,Saturday,0,9
2025-09-06,paid_social,145436.78,10.0,49659.740000000005,Saturday,0,9
2025-09-06,referral,30039.22,3.0,29376.22,Saturday,0,9
2025-09-06,search,174477.51,20.0,172512.64,Saturday,0,9
2025-09-07,email,18810.88,15.0,93466.48,Sunday,0,9
2025-09-07,organic,5069.3,13.0,54485.64,Sunday,0,9
2025-09-07,paid_social,169294.54,15.0,92914.17,Sunday,0,9
2025-09-07,referral,29532.27,3.0,20437.5,Sunday,0,9
2025-09-07,search,169562.49,35.0,238933.59,Sunday,0,9
2025-09-08,email,16621.55,13.0,131996.22,Monday,0,9
2025-09-08,organic,4542.88,8.0,66367.53,Monday,0,9
2025-09-08,paid_social,117337.32,12.0,79402.76999999999,Monday,0,9
2025-09-08,referral,28730.53,6.0,116066.20999999999,Monday,0,9
2025-09-08,search,150271.73,30.0,185118.41,Monday,0,9
2025-09-09,email,14928.94,18.0,96453.55000000002,Tuesday,0,9
2025-09-09,organic,4001.8,6.0,48917.54,Tuesday,0,9
2025-09-09,paid_social,126728.16,11.0,74441.67,Tuesday,0,9
2025-09-09,referral,27668.95,4.0,20723.88,Tuesday,0,9
2025-09-09,search,138955.38,28.0,159747.67,Tuesday,0,9
2025-09-10,email,14351.99,13.0,64414.56,Wednesday,0,9
2025-09-10,organic,3406.33,9.0,81305.39,Wednesday,0,9
2025-09-10,paid_social,109178.94,17.0,102990.5,Wednesday,0,9
2025-09-10,referral,28756.52,4.0,29218.71,Wednesday,0,9
2025-09-10,search,149171.13,39.0,281658.97000000003,Wednesday,0,9
2025-09-11,email,17255.36,20.0,155421.05000000002,Thursday,0,9
2025-09-11,organic,4174.46,13.0,68030.93,Thursday,0,9
2025-09-11,paid_social,112581.81,22.0,121488.1,Thursday,0,9
2025-09-11,referral,31668.16,8.0,59644.97,Thursday,0,9
2025-09-11,search,149228.76,26.0,152804.19,Thursday,0,9
2025-09-12,email,18542.67,17.0,115638.14,Friday,0,10
2025-09-12,organic,4477.57,4.0,17245.32,Friday,0,10
2025-09-12,paid_social,143337.99,20.0,119241.62,Friday,0,10
2025-09-12,referral,29140.3,5.0,39481.82,Friday,0,10
2025-09-12,search,157101.89,30.0,234711.66,Friday,0,10
2025-09-13,email,17601.170000000002,19.0,192920.71,Saturday,0,10
2025-09-13,organic,4675.28,10.0,74455.68,Saturday,0,10
2025-09-13,paid_social,134767.51,9.0,49118.09,Saturday,0,10
2025-09-13,referral,32228.850000000002,6.0,40214.93,Saturday,0,10
2025-09-13,search,152510.01,34.0,249178.40999999997,Saturday,0,10
2025-09-14,email,18980.7,11.0,68796.33,Sunday,0,10
2025-09-14,organic,4697.92,9.0,64589.97,Sunday,0,10
2025-09-14,paid_social,135982.34,13.0,62920.32,Sunday,0,10
2025-09-14,referral,32576.52,4.0,18925.059999999998,Sunday,0,10
2025-09-14,search,171608.1,30.0,200519.77,Sunday,0,10
2025-09-15,email,16136.86,15.0,114561.20999999999,Monday,0,10
2025-09-15,organic,3539.46,11.0,54531.89,Monday,0,10
2025-09-15,paid_social,137664.59,13.0,71207.59,Monday,0,10
2025-09-15,referral,28071.73,9.0,55562.45,Monday,0,10
2025-09-15,search,173536.97999999998,31.0,237382.32,Monday,0,10
2025-09-16,email,16811.3,5.0,37461.810000000005,Tuesday,0,10
2025-09-16,organic,4422.36,11.0,68557.89,Tuesday,0,10
2025-09-16,paid_social,124588.05,11.0,58457.41,Tuesday,0,10
2025-09-16,referral,29974.54,7.0,37179.26,Tuesday,0,10
2025-09-16,search,140832.38,27.0,162823.91,Tuesday,0,10
2025-09-17,email,16191.94,14.0,83154.43,Wednesday,0,10
2025-09-17,organic,3931.7,7.0,37638.48,Wednesday,0,10
2025-09-17,paid_social,106389.86,9.0,57387.09,Wednesday,0,10
2025-09-17,referral,28057.54,13.0,96120.97,Wednesday,0,10
2025-09-17,search,145887.35,27.0,170054.29,Wednesday,0,10
2025-09-18,email,16190.59,8.0,51179.71000000001,Thursday,0,10
2025-09-18,organic,3835.32,10.0,57764.84,Thursday,0,10
2025-09-18,paid_social,122448.85,13.0,73649.59000000001,Thursday,0,10
2025-09-18,referral,27194.93,9.0,99942.34999999999,Thursday,0,10
2025-09-18,search,144585.87,28.0,198397.86,Thursday,0,10
2025-09-19,email,19416.7,20.0,117983.84,Friday,0,11
2025-09-19,organic,4014.88,4.0,13583.14,Friday,0,11
2025-09-19,paid_social,118687.73999999999,15.0,70637.87,Friday,0,11
2025-09-19,referral,32532.2,3.0,15113.240000000002,Friday,0,11
2025-09-19,search,155440.02,31.0,166470.88,Friday,0,11
2025-09-20,email,20188.26,9.0,43788.3,Saturday,0,11
2025-09-20,organic,4606.5,16.0,99688.79000000001,Saturday,0,11
2025-09-20,paid_social,131130.03,8.0,36319.37,Saturday,0,11
2025-09-20,referral,29769.59,3.0,27062.68,Saturday,0,11
2025-09-20,search,177280.8,20.0,146375.88,Saturday,0,11
2025-09-21,email,20108.9,13.0,75646.39,Sunday,0,11
2025-09-21,organic,5220.99,11.0,71559.31999999999,Sunday,0,11
2025-09-21,paid_social,134649.06,13.0,71521.33,Sunday,0,11
2025-09-21,referral,29915.09,7.0,41463.44,Sunday,0,11
2025-09-21,search,170444.53999999998,26.0,162699.48,Sunday,0,11
2025-09-22,email,13990.38,16.0,97650.27,Monday,0,11
2025-09-22,organic,3841.65,8.0,46430.67,Monday,0,11
2025-09-22,paid_social,126283.9,12.0,97296.91,Monday,0,11
2025-09-22,referral,33203.78,1.0,21513.26,Monday,0,11
2025-09-22,search,146168.63,34.0,212076.08000000002,Monday,0,11
2025-09-23,email,14841.34,14.0,75033.25,Tuesday,0,11
2025-09-23,organic,3999.95,3.0,26502.409999999996,Tuesday,0,11
2025-09-23,paid_social,123129.92,10.0,60497.60999999999,Tuesday,0,11
2025-09-23,referral,31303.65,10.0,173596.78999999998,Tuesday,0,11
2025-09-23,search,140016.63,33.0,222844.25,Tuesday,0,11
